cod_condutorinfrator;num_auto;dat_apresentdoc;dat_entradasistema
67368;"B094868336";"2007-02-06";"2007-02-06"
69400;"B086455052";"2007-02-02";"2007-02-13"
69084;"B084131497";"2007-02-05";"2007-02-12"
69751;"B086128937";"2007-02-07";"2007-02-14"
65228;"R005556538";"2007-01-23";"2007-01-30"
69548;"R005556597";"2007-01-29";"2007-02-14"
67008;"R005556643";"2007-01-24";"2007-02-05"
68778;"R005556708";"2007-02-02";"2007-02-12"
65368;"R005556716";"2007-01-17";"2007-01-30"
68732;"R005556775";"2007-01-31";"2007-02-09"
67581;"R005556791";"2007-01-25";"2007-02-07"
69176;"R005556856";"2007-02-01";"2007-02-13"
69181;"R005556899";"2007-02-02";"2007-02-13"
67342;"R005556953";"2007-01-23";"2007-02-06"
68771;"R005556977";"2007-02-02";"2007-02-12"
68336;"R005557232";"2007-01-31";"2007-02-08"
66835;"R005557283";"2007-01-24";"2007-02-05"
65037;"R005557697";"2007-01-26";"2007-01-29"
62511;"R005557798";"2007-01-17";"2007-01-22"
66831;"R005557836";"2007-01-25";"2007-02-05"
66477;"R005557925";"2007-01-22";"2007-02-02"
66800;"R005557984";"2007-01-23";"2007-02-05"
68220;"R005558026";"2007-01-25";"2007-02-08"
67200;"R005558123";"2007-01-19";"2007-03-08"
63337;"R005558166";"2007-01-24";"2007-01-24"
70200;"R005558301";"2007-02-09";"2007-02-15"
69864;"R005558433";"2007-01-31";"2007-02-14"
63398;"R005558522";"2007-01-24";"2007-01-24"
66062;"R005558638";"2007-01-29";"2007-01-31"
65957;"R005558707";"2007-01-25";"2007-01-31"
67442;"R005558767";"2007-01-26";"2007-02-06"
65880;"R005558808";"2007-01-24";"2007-01-31"
66970;"R005558859";"2007-01-26";"2007-02-05"
66487;"R005558875";"2007-01-26";"2007-02-02"
66748;"R005558883";"2007-01-23";"2007-02-05"
66948;"R005558891";"2007-02-02";"2007-02-05"
63322;"R005558987";"2007-01-23";"2007-01-24"
63627;"R005559006";"2007-01-24";"2007-01-24"
66560;"R005559097";"2007-01-31";"2007-02-02"
66947;"R005559235";"2007-02-02";"2007-02-05"
63190;"R005559243";"2007-01-23";"2007-01-23"
66515;"R005559332";"2007-02-02";"2007-02-02"
65005;"R005559359";"2007-01-26";"2007-01-29"
67799;"R005559413";"2007-02-02";"2007-02-07"
62801;"R005559553";"2007-01-22";"2007-01-22"
67126;"R005559693";"2007-01-22";"2007-02-05"
63314;"R005559863";"2007-01-18";"2007-01-24"
68392;"R005560187";"2007-01-30";"2007-02-08"
67301;"R005560284";"2007-01-26";"2007-02-06"
76590;"R005560268";"2007-02-02";"2007-03-14"
76590;"R005560276";"2007-02-02";"2007-03-14"
65964;"R005560381";"2007-01-29";"2007-01-31"
68455;"R005560497";"2007-01-31";"2007-02-08"
68455;"R005560489";"2007-01-31";"2007-02-08"
65155;"R005560535";"2007-01-26";"2007-01-30"
67948;"R005560567";"2007-02-02";"2007-02-07"
66150;"R005560624";"2007-01-30";"2007-02-01"
61885;"R005560647";"2007-01-15";"2007-01-18"
67616;"R005560675";"2007-02-01";"2007-02-07"
68146;"R005560721";"2007-02-02";"2007-02-08"
68314;"R005560764";"2007-01-29";"2007-02-08"
67907;"R005560845";"2007-02-01";"2007-02-07"
66649;"R005560853";"2007-01-31";"2007-02-02"
67544;"R005560861";"2007-01-30";"2007-02-07"
68711;"R005561167";"2007-01-30";"2007-02-09"
67237;"R005561237";"2007-01-26";"2007-02-06"
67797;"R005561329";"2007-01-31";"2007-02-07"
67095;"R005561345";"2007-01-26";"2007-02-05"
67682;"R005561353";"2007-01-30";"2007-02-07"
68571;"R005561426";"2007-01-30";"2007-02-09"
68381;"R005561582";"2007-02-01";"2007-02-08"
67717;"R005561612";"2007-01-29";"2007-02-07"
69286;"R005561627";"2007-02-02";"2007-02-13"
66987;"R005561655";"2007-02-01";"2007-02-05"
67010;"R005561767";"2007-01-29";"2007-02-05"
65164;"R005561833";"2007-01-24";"2007-01-30"
68704;"R005562023";"2007-02-01";"2007-02-09"
68688;"R005562066";"2007-01-29";"2007-02-09"
64417;"R005562074";"2007-01-21";"2007-01-26"
64398;"R005562155";"2007-01-22";"2007-01-26"
68201;"R005562163";"2007-02-02";"2007-02-08"
64313;"R005562187";"2007-01-18";"2007-01-26"
64960;"R005562198";"2007-01-25";"2007-01-29"
67686;"R005562252";"2007-01-29";"2007-02-07"
69050;"R005562325";"2007-02-02";"2007-02-12"
9602;"R005562341";"2007-02-02";"2007-02-08"
68522;"R005562384";"2007-02-01";"2007-02-09"
64969;"R005562422";"2007-01-25";"2007-01-29"
63851;"R005562465";"2007-01-23";"2007-01-25"
64672;"R005562497";"2007-01-18";"2007-01-29"
67655;"R005562511";"2007-01-30";"2007-02-07"
69886;"R005562562";"2007-02-08";"2007-02-14"
70271;"R005562694";"2007-02-02";"2007-02-15"
64727;"R005562716";"2007-01-19";"2007-01-29"
32546;"R005562724";"2007-02-02";"2007-02-13"
68524;"R005562848";"2007-02-01";"2007-02-09"
69256;"R005562899";"2007-02-02";"2007-02-13"
67794;"R005563077";"2007-02-01";"2007-02-07"
68409;"R005563127";"2007-01-30";"2007-02-08"
72389;"R005563387";"2007-02-12";"2007-02-28"
74996;"R005563437";"2007-02-23";"2007-03-09"
64215;"R005563453";"2007-01-17";"2007-01-26"
68110;"R005563477";"2007-02-02";"2007-02-08"
64602;"R005563507";"2007-01-18";"2007-01-29"
65528;"R005563518";"2007-01-25";"2007-01-30"
67252;"R005563526";"2007-01-26";"2007-02-06"
55096;"R005563585";"2007-02-01";"2007-02-09"
65478;"R005563593";"2007-01-24";"2007-01-30"
65478;"R005563615";"2007-01-24";"2007-01-30"
7791;"R005563682";"2007-02-02";"2007-02-13"
69348;"R005563771";"2007-02-02";"2007-02-13"
63563;"R005563836";"2007-01-17";"2007-01-24"
63529;"R005563844";"2007-01-17";"2007-01-24"
68129;"R005563867";"2007-01-30";"2007-02-08"
68132;"R005563909";"2007-01-31";"2007-02-08"
68121;"R005563984";"2007-01-30";"2007-02-08"
69335;"R005564147";"2007-02-02";"2007-02-13"
69350;"R005564197";"2007-02-02";"2007-02-13"
65561;"R005564204";"2007-01-23";"2007-01-30"
68137;"R005564255";"2007-02-02";"2007-02-08"
68668;"R005564247";"2007-02-01";"2007-02-09"
68654;"R005564336";"2007-02-01";"2007-02-09"
68116;"R005564549";"2007-02-02";"2007-02-08"
74537;"R005564646";"2007-02-13";"2007-03-08"
63396;"R005564654";"2007-01-15";"2007-01-24"
68358;"R005564662";"2007-01-31";"2007-02-08"
68142;"R005564689";"2007-01-31";"2007-02-08"
64211;"R005564948";"2007-01-18";"2007-01-26"
31626;"R005565219";"2007-02-02";"2007-02-13"
70132;"R005565227";"2007-02-02";"2007-02-15"
57382;"R005565189";"2007-01-25";"2007-01-30"
69624;"R005565391";"2007-02-02";"2007-02-14"
68527;"R005565332";"2007-01-31";"2007-02-09"
68887;"R005565448";"2007-02-01";"2007-02-12"
68438;"R005565456";"2004-02-02";"2007-02-08"
63967;"R005565464";"2007-01-17";"2007-01-25"
64284;"R005565472";"2007-01-17";"2007-01-26"
66950;"R005565529";"2007-01-25";"2007-02-05"
71175;"R005565607";"2007-02-02";"2007-02-22"
68372;"R005565618";"2007-01-26";"2007-02-08"
68698;"R005565634";"2007-01-29";"2007-02-09"
63946;"R005565677";"2007-01-15";"2007-01-25"
69088;"R005565766";"2007-02-03";"2007-02-12"
69194;"R005565839";"2007-02-02";"2007-02-13"
80474;"R005566077";"2007-01-24";"2007-03-29"
70682;"R005566126";"2007-02-05";"2007-02-16"
80461;"R005566247";"2007-02-02";"2007-03-29"
64954;"R005566592";"2007-01-25";"2007-01-29"
65745;"R005566606";"2007-01-24";"2007-01-31"
65760;"R005566703";"2007-01-25";"2007-01-31"
65799;"R005566878";"2007-01-24";"2007-01-31"
64896;"R005566967";"2007-01-19";"2007-01-29"
63785;"B086123645";"2007-01-24";"2007-01-24"
69087;"B080391125";"2007-01-22";"2007-02-12"
67425;"B087286475";"2007-02-05";"2007-02-06"
80868;"B083308482";"2007-02-06";"2007-03-30"
80216;"B089083423";"2007-01-29";"2007-03-29"
65972;"B078436157";"2007-01-29";"2007-01-31"
67994;"B083324216";"2007-01-29";"2007-02-07"
69614;"B075064669";"2007-02-07";"2007-02-14"
70551;"B084316055";"2007-02-07";"2007-02-16"
64142;"B087379244";"2007-01-19";"2007-01-26"
72983;"B085425777";"2007-02-15";"2007-03-05"
67094;"B085425818";"2007-01-26";"2007-02-05"
80845;"B083316213";"2007-01-22";"2007-03-30"
66825;"B084227281";"2007-01-24";"2007-02-05"
71613;"B083908129";"2007-02-21";"2007-02-23"
63695;"B076119297";"2007-01-12";"2007-01-24"
63374;"B076109727";"2007-01-15";"2007-01-24"
68180;"B075258196";"2007-01-31";"2007-02-08"
67634;"B075259265";"2007-02-01";"2007-02-07"
68639;"B084315164";"2007-02-06";"2007-02-09"
69961;"B085359858";"2007-02-05";"2007-02-14"
65876;"B085425583";"2007-01-23";"2007-01-31"
65512;"B075259327";"2007-01-12";"2007-01-30"
68380;"B075249529";"2007-01-30";"2007-02-08"
64616;"B075249553";"2007-01-23";"2007-01-29"
71001;"B085362891";"2007-02-01";"2007-02-21"
66966;"B083321322";"2007-02-06";"2007-02-05"
68598;"B075259036";"2007-01-31";"2007-02-09"
63748;"B085425656";"2004-01-18";"2007-01-24"
67858;"B075258207";"2007-02-01";"2007-02-07"
67192;"B075199734";"2007-01-25";"2007-02-06"
80821;"B083243011";"2007-01-22";"2007-03-30"
67672;"B085362832";"2007-02-04";"2007-02-07"
80881;"B083322582";"2007-01-19";"2007-03-30"
68684;"B085359874";"2007-02-06";"2007-02-09"
64826;"B085636932";"2007-01-22";"2007-01-29"
80888;"B083317066";"2007-01-25";"2007-03-30"
62232;"B087249347";"2007-01-19";"2007-01-19"
69542;"B092326501";"2007-01-02";"2007-02-14"
80142;"B083203958";"2007-02-07";"2007-03-29"
65794;"B092326358";"2007-01-17";"2007-01-31"
69042;"B092326404";"2007-02-07";"2007-02-12"
68858;"B092326439";"2007-02-05";"2007-02-12"
68470;"B087407698";"2007-01-17";"2007-02-08"
65963;"B092326487";"2007-01-17";"2007-01-31"
68815;"B092324274";"2007-02-02";"2007-02-12"
67271;"B092324297";"2007-01-22";"2007-02-06"
70386;"B092324304";"2007-02-09";"2007-02-15"
63889;"B078454832";"2007-01-23";"2007-01-25"
69494;"B078454859";"2007-02-07";"2007-02-13"
67876;"B092325831";"2007-01-22";"2007-02-07"
60926;"B084168595";"2007-01-15";"2007-01-16"
65377;"B084168633";"2007-01-17";"2007-01-30"
65612;"B084168641";"2007-01-26";"2007-01-30"
68611;"B084168161";"2007-02-05";"2007-02-09"
65026;"B083982817";"2007-01-26";"2007-01-29"
80419;"B089559274";"2007-01-25";"2007-03-29"
70276;"B075276727";"2007-02-07";"2007-02-15"
67457;"B075276755";"2007-02-02";"2007-02-06"
69378;"B075279576";"2007-02-02";"2007-02-13"
70191;"B075279649";"2007-02-09";"2007-02-15"
79841;"B089059212";"2007-02-07";"2007-03-28"
70108;"B075280302";"2007-02-09";"2007-02-15"
68908;"B085362227";"2007-02-02";"2007-02-12"
68908;"B085362239";"2007-02-02";"2007-02-12"
67944;"B075281577";"2007-02-01";"2007-02-07"
70927;"B085362287";"2007-02-07";"2007-02-21"
70927;"B085362298";"2007-02-07";"2007-02-21"
65915;"B085362937";"2007-01-24";"2007-01-31"
63485;"B085362964";"2007-01-16";"2007-01-24"
47500;"B085363006";"2007-01-31";"2007-02-12"
65243;"B085363037";"2007-01-30";"2007-01-30"
65748;"B075078112";"2007-01-23";"2007-01-31"
70268;"B075274377";"2007-02-07";"2007-02-15"
64662;"B075275577";"2007-01-22";"2007-01-29"
67231;"B086058398";"2007-01-29";"2007-02-06"
62353;"B084273267";"2007-01-15";"2007-01-22"
69452;"B075276704";"2007-02-05";"2007-02-13"
15084;"B083306315";"2007-02-06";"2007-02-13"
67889;"B089300017";"2007-01-19";"2007-02-07"
65749;"B088764788";"2007-01-29";"2007-01-31"
66626;"B072315172";"2007-01-29";"2007-02-02"
55350;"B085619078";"2006-12-28";"2007-02-07"
66020;"B085368474";"2007-01-23";"2007-01-31"
63536;"B085619396";"2007-01-19";"2007-01-24"
68452;"B064744167";"2007-02-07";"2007-02-08"
68452;"B064735915";"2007-02-07";"2007-02-08"
67967;"B089241932";"2007-01-23";"2007-02-07"
69182;"B083607471";"2007-01-26";"2007-02-13"
68496;"B092616828";"2007-02-02";"2007-02-09"
65021;"B092616836";"2007-01-24";"2007-01-29"
